date,tavg,tmin,tmax,prcp,humidity,wspd,wdir,pres,cloud_cover,sunshine_duration,daylight_duration,effective_sunshine,sunshine_ratio,temp_range,cloud_adjusted_temp_range,day_of_year,sin_day_of_year,cos_day_of_year,tavg_diff,tavg_ewm,wdir_wspd
2025-03-29,19.420833333333334,12.4,26.0,0.0,24.833333333333332,8.762500000000001,206.91666666666666,1008.6,43.333333333333336,39600.0,44852.34,-1676400.0,0.8828970794204055,13.6,-575.7333333333333,88,0.9984354211555643,0.055916990100603484,0.0,19.420833333333334,1813.1072916666667
2025-03-30,19.958333333333332,11.0,25.8,0.0,21.791666666666668,12.516666666666666,190.16666666666666,1011.8791666666666,20.458333333333332,42082.2,44975.55,-818849.4749999999,0.9356683796116625,14.8,-287.98333333333335,89,0.9992500112396835,0.03872228089217446,0.5374999999999979,19.555208333333333,2380.2527777777773
2025-03-31,23.395833333333332,19.4,27.4,0.0,27.416666666666668,11.4125,203.125,1013.3375,32.333333333333336,41635.91,45098.97,-1304591.846666667,0.9232119933286255,8.0,-250.66666666666669,90,0.9997685019798909,0.021516097436222254,3.4375,20.515364583333334,2318.1640625
2025-04-01,22.6125,18.4,27.1,0.0,31.833333333333332,21.291666666666668,244.83333333333334,1007.5416666666666,75.375,41744.36,45222.54,-3104736.775,0.9230874690092401,8.700000000000003,-647.0625000000002,91,0.9999907397361901,0.004303538296244289,-0.7833333333333314,21.0396484375,5212.909722222223
2025-04-02,19.075,15.2,21.7,0.0,21.791666666666668,14.758333333333333,254.875,1007.1083333333332,88.0,41869.06,45346.17,-3642608.2199999997,0.9233207565438666,6.5,-565.5,92,0.9999166586547379,-0.01291029607500882,-3.5375000000000014,20.548486328124998,3761.530208333333
